track_id,x,y,class,camera_id,intersection_id,phase,name
track_id,x,y,class,camera_id,intersection_id,phase,name
-1893,711,425,car,3,7356,1100ee,1100eecar4
-1893,711,394,car,3,7356,1100ee,1100eecar4
-1893,709,381,car,3,7356,1100ee,1100eecar4
-1893,709,363,car,3,7356,1100ee,1100eecar4
-1893,706,352,car,3,7356,1100ee,1100eecar4
-1893,704,324,car,3,7356,1100ee,1100eecar4
-1893,698,315,car,3,7356,1100ee,1100eecar4
-1893,695,300,car,3,7356,1100ee,1100eecar4
-1893,693,267,car,3,7356,1100ee,1100eecar4
-1893,693,245,car,3,7356,1100ee,1100eecar4
-1893,690,219,car,3,7356,1100ee,1100eecar4
-1893,690,199,car,3,7356,1100ee,1100eecar4
-1893,689,184,car,3,7356,1100ee,1100eecar4
-1893,683,176,car,3,7356,1100ee,1100eecar4
-1893,681,147,car,3,7356,1100ee,1100eecar4
-1893,677,141,car,3,7356,1100ee,1100eecar4
-1957,743,733,car,3,7356,1100ee,1100eecar5
-1957,743,733,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,732,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
-1957,743,731,car,3,7356,1100ee,1100eecar5
